measured in ug/mg,SampID,Dry_Weight,Species,Site,Sex,SL.mm,Tissue,Date_harvested,Time_harvested,Al,As,B ,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,K ,Li,Mg,Mn,Mo,Na,Ni,P ,Pb,S ,Se,Si,Sr,Tl,V ,Zn,z-Al,z-As,z-B,z-Ba,z-Be,z-Bi,z-Ca,z-Cd,z-Co,z-Cr,z-Cu,z-Fe,z-K,z-Li,z-Mg,z-Mn,z-Mo,z-Na,z-Ni,z-P,z-Pb,z-S,z-Se,z-Si,z-Sr,z-Tl,z-V,z-Zn
28,I28,1637.1,Campostoma_anomalum,TC,F,79,WS,5/13/18,15:30,0.001432518,0.001077238,0.000301342,0.00096019,3.19E-07,1.91E-05,15.91515643,0.000214159,9.81E-05,0.000313303,0.002385563,0.089346596,#VALUE!,0.00138215,#VALUE!,0.01256715,2.66E-05,#VALUE!,4.47E-05,17.78452635,0.000243507,6.632627866,0.001222901,0.008129,0.010808143,0.001559037,1.54E-05,0.358498568,-0.4293643,-0.204218681,-0.404535515,-0.422693226,-0.391174192,-0.408091907,-0.308228988,-0.35995015,-0.401923247,-0.43627911,-0.310086055,-0.383990255,#VALUE!,#VALUE!,#VALUE!,-0.546289594,-0.425462165,#VALUE!,-0.418741217,-1.023235312,-0.40713377,-1.156188354,-0.397869805,-0.150329582,-0.47777383,-0.4079282,-0.412458095,1.315971091
39,I39,1039,Campostoma_anomalum,TC,N/A,69,WS,5/13/18,15:30,0.002909754,0.000703114,0.000377207,0.001893861,3.35E-07,2.01E-05,16.33313251,0.000227931,6.55E-05,0.000313699,0.002292533,0.071467295,#VALUE!,0.001491008,#VALUE!,0.017009622,4.14E-05,#VALUE!,0.00021961,17.76564869,0.000284345,5.360785404,0.001088709,0.003552586,0.010506728,0.00205483,4.00E-05,0.419475226,-0.40622362,-0.21411687,-0.398165614,-0.418264557,-0.391155037,-0.408070623,-0.286166367,-0.354782191,-0.405431404,-0.436213978,-0.312648844,-0.404036423,#VALUE!,#VALUE!,#VALUE!,-0.421338934,-0.423260168,#VALUE!,-0.403953925,-1.025352235,-0.406153235,-1.612905114,-0.399938181,-0.154675855,-0.492649444,-0.406314545,-0.410492634,1.761958977
74,I74,1538.8,Campostoma_anomalum,TC,N/A,82,WS,5/13/18,15:30,0.00171024,0.000913467,0.000422604,0.002312286,3.40E-07,2.03E-05,20.72289285,0.000210148,8.95E-05,0.000431418,0.002938078,0.090361245,#VALUE!,0.001949601,#VALUE!,0.026681811,6.53E-05,#VALUE!,0.000204535,25.62268809,0.000332669,8.019527262,0.001908913,0.010760535,0.01518507,0.003123136,2.42E-05,0.630404112,-0.425013826,-0.208551566,-0.394353917,-0.416279848,-0.391149051,-0.408066366,-0.054455452,-0.361455282,-0.402848712,-0.4168523,-0.294865377,-0.382852636,#VALUE!,#VALUE!,#VALUE!,-0.149295261,-0.41970424,#VALUE!,-0.4052284,-0.144271231,-0.404992958,-0.658154819,-0.387295918,-0.147830383,-0.261761107,-0.402837534,-0.411755003,3.304708794
79,I79,471.1,Campostoma_anomalum,TC,N/A,55,WS,5/13/18,15:30,0.002469868,0.000993867,0.000569797,0.002676272,7.39E-07,7.12E-05,20.73564889,0.000359233,6.92E-05,0.000354344,0.002046757,0.069278442,#VALUE!,0.001768491,0.92626677,0.016994259,6.68E-05,#VALUE!,0.000186935,22.54530574,0.000324734,6.989722257,0.001397796,0.003079033,0.011355988,0.001701786,4.08E-05,0.544417085,-0.413114368,-0.206424426,-0.381995058,-0.414553358,-0.390671368,-0.406983012,-0.053782132,-0.305510966,-0.405033239,-0.429528945,-0.319419479,-0.406490552,#VALUE!,#VALUE!,#VALUE!,-0.42177104,-0.419481065,#VALUE!,-0.406716344,-0.489365991,-0.40518348,-1.027956283,-0.39517405,-0.155125594,-0.450736256,-0.407463595,-0.410428716,2.675793179
81,I81,1051.1,Campostoma_anomalum,TC,N/A,71,WS,5/13/18,15:30,0.002379056,0.000957008,0.000309641,0.003651608,3.31E-07,1.99E-05,18.92802006,0.000248322,7.23E-05,0.000370461,0.00253739,0.090516652,#VALUE!,0.001829503,#VALUE!,0.020167105,7.73E-05,#VALUE!,0.000251288,22.868949,0.000271553,7.274248688,0.001368662,0.006668848,0.014446998,0.002061674,1.68E-05,0.504004496,-0.414536924,-0.207399603,-0.403838701,-0.409927061,-0.391159826,-0.408074879,-0.149196756,-0.347130445,-0.404699641,-0.426878123,-0.305903526,-0.382678395,#VALUE!,#VALUE!,#VALUE!,-0.332530364,-0.417918837,#VALUE!,-0.401275794,-0.453072941,-0.406460375,-0.92578326,-0.395623109,-0.151716305,-0.298186879,-0.40629227,-0.41234624,2.380212448
82,I82,663.5,Campostoma_anomalum,TC,N/A,60,WS,5/13/18,15:30,4.01E-05,0.000857562,0.000186146,0.001175552,5.25E-07,4.07E-05,13.76134386,0.000117591,4.99E-05,0.000186521,0.001372626,0.040479014,#VALUE!,0.001128286,0.670262239,0.009722441,3.56E-05,#VALUE!,0.000115877,14.76059334,0.000246786,5.0034079,0.000915462,0.000532639,0.008180744,0.00175227,8.48E-06,0.192047804,-0.451176318,-0.210030644,-0.41420779,-0.421671702,-0.390927569,-0.407632173,-0.421916716,-0.396187402,-0.407110154,-0.457131413,-0.337990433,-0.438780303,#VALUE!,#VALUE!,#VALUE!,-0.626300964,-0.424123112,#VALUE!,-0.41272375,-1.362336314,-0.40705504,-1.74123885,-0.402608534,-0.157543934,-0.6074428,-0.407299285,-0.413010981,0.098537621
85,I85,429.5,Fundulus_notatus,CC,F,57,WS,5/14/18,12:45,0.000547352,0.001154909,0.000273438,0.005235629,8.11E-07,4.86E-05,27.64208809,2.62E-05,6.32E-05,0.000426156,0.001483939,0.044313598,#VALUE!,0.002313234,#VALUE!,0.057647446,0.000245882,#VALUE!,0.000256043,30.04356968,0.000141531,8.130892128,0.001522465,0.005226333,0.031313978,0.003115605,9.38E-05,0.100244627,-0.443230292,-0.202163741,-0.406878437,-0.402413597,-0.39058517,-0.40746403,0.310770193,-0.430481979,-0.405678912,-0.417717761,-0.334923984,-0.434480989,#VALUE!,#VALUE!,#VALUE!,0.721655987,-0.392836602,#VALUE!,-0.400873795,0.351482271,-0.409582251,-0.618163859,-0.393252457,-0.153086278,0.534242423,-0.402862045,-0.406194186,-0.572917755
86,I86,443.5,Fundulus_notatus,CC,M,54,WS,5/14/18,12:45,0.000795994,0.00111484,0.000569201,0.00672802,7.85E-07,4.70E-05,29.55025419,2.94E-05,6.98E-05,0.000547713,0.002089444,0.049649927,#VALUE!,0.002541799,#VALUE!,0.041178562,0.000256137,#VALUE!,0.0003844,31.75273886,0.000125187,8.952093635,0.002037459,0.004902534,0.033462817,0.003355788,0.00011953,0.119750808,-0.439335352,-0.203223846,-0.3820451,-0.39533476,-0.390616297,-0.407498084,0.411491617,-0.429281175,-0.404968672,-0.397724833,-0.318243538,-0.428497928,#VALUE!,#VALUE!,#VALUE!,0.258445881,-0.391310827,#VALUE!,-0.3900222,0.543146894,-0.409974677,-0.323271604,-0.385314567,-0.153393794,0.640293213,-0.402080323,-0.404138441,-0.430248072
90,I90,122.3,Fundulus_notatus,CC,F,39,WS,5/14/18,12:45,0.004727565,0.001439906,0.000398162,0.006837438,4.27E-06,0.000255924,28.83801823,4.71E-05,0.000109916,0.000689057,0.003845881,0.110293026,#VALUE!,0.002412805,#VALUE!,0.062258072,0.000340967,#VALUE!,0.000362671,32.38601045,0.000227209,11.35942349,0.00206291,0.015121279,0.035683287,0.003711504,0.000217088,0.141714905,-0.377747885,-0.194623583,-0.396406156,-0.394815759,-0.386444056,-0.403051353,0.373896662,-0.42263923,-0.400651701,-0.374477465,-0.269857228,-0.360505239,#VALUE!,#VALUE!,#VALUE!,0.851336211,-0.378689515,#VALUE!,-0.39185922,0.614161374,-0.407525091,0.54119701,-0.384922277,-0.143688934,0.749879178,-0.400922575,-0.396343868,-0.269601007
91,I91,428.3,Fundulus_notatus,CC,M,56,WS,5/14/18,12:45,0.0014346,0.001039027,0.000681525,0.005746936,8.13E-07,4.87E-05,26.53505455,2.87E-05,6.91E-05,0.000447975,0.001650429,0.050935389,#VALUE!,0.002233729,#VALUE!,0.050948485,0.000239574,#VALUE!,0.000363118,27.92298781,0.000112367,7.634849147,0.001580458,0.005381788,0.030958635,0.003397138,0.00012536,0.092602762,-0.429331685,-0.205229629,-0.372613969,-0.399988321,-0.390582775,-0.407461901,0.25233608,-0.429543851,-0.405044,-0.41412911,-0.330337519,-0.427056676,#VALUE!,#VALUE!,#VALUE!,0.533238458,-0.393775129,#VALUE!,-0.39182143,0.113682215,-0.41028249,-0.796292165,-0.392358579,-0.152938641,0.516705322,-0.401945741,-0.403672643,-0.628810933
