tissue,direction_of_diff_expression,GO_term,Description,P-value,FDR q-value,Enrichment,N,B,n,b
gill,upregulated,GO:0009653,anatomical structure morphogenesis,4.91E-08,7.18E-04,1.65,11186,994,748,110
gill,upregulated,GO:0048856,anatomical structure development,8.46E-08,6.18E-04,1.39,11186,2218,748,206
gill,upregulated,GO:0032502,developmental process,5.51E-07,2.68E-03,1.27,11186,3285,748,280
gill,upregulated,GO:0007155,cell adhesion,1.37E-06,4.99E-03,1.77,11186,600,748,71
gill,upregulated,GO:0006928,movement of cell or subcellular component,1.47E-06,4.30E-03,1.58,11186,953,748,101
gill,upregulated,GO:0050793,regulation of developmental process,1.69E-06,4.11E-03,1.38,11186,1894,748,175
gill,upregulated,GO:0022610,biological adhesion,1.97E-06,4.11E-03,1.75,11186,606,748,71
gill,upregulated,GO:2000026,regulation of multicellular organismal development,3.38E-06,6.16E-03,1.42,11186,1523,748,145
gill,upregulated,GO:0048513,animal organ development,4.52E-06,7.34E-03,1.57,11186,904,748,95
gill,upregulated,GO:0001525,angiogenesis,5.61E-06,8.20E-03,2.33,11186,205,748,32
gill,upregulated,GO:0045765,regulation of angiogenesis,8.70E-06,1.16E-02,2.25,11186,219,748,33
gill,upregulated,GO:0033262,regulation of nuclear cell cycle DNA replication,1.32E-05,1.60E-02,7.48,11186,14,748,7
gill,upregulated,GO:0009887,animal organ morphogenesis,1.71E-05,1.93E-02,1.94,11186,340,748,44
gill,upregulated,GO:0048646,anatomical structure formation involved in morphogenesis,1.91E-05,1.99E-02,1.73,11186,519,748,60
gill,upregulated,GO:0048870,cell motility,2.16E-05,2.11E-02,1.64,11186,649,748,71
gill,upregulated,GO:0040011,locomotion,2.35E-05,2.15E-02,1.6,11186,710,748,76
gill,upregulated,GO:0016477,cell migration,3.08E-05,2.64E-02,1.65,11186,597,748,66
gill,upregulated,GO:1901342,regulation of vasculature development,3.45E-05,2.80E-02,2.08,11186,244,748,34
gill,upregulated,GO:0022603,regulation of anatomical structure morphogenesis,4.96E-05,3.81E-02,1.53,11186,823,748,84
gill,upregulated,GO:0097485,neuron projection guidance,5.16E-05,3.77E-02,2.16,11186,208,748,30
gill,upregulated,GO:0007411,axon guidance,5.16E-05,3.59E-02,2.16,11186,208,748,30
gill,upregulated,GO:0042026,protein refolding,5.71E-05,3.79E-02,7.48,11186,12,748,6
gill,upregulated,GO:0009888,tissue development,5.83E-05,3.70E-02,1.77,11186,413,748,49
gill,upregulated,GO:0007423,sensory organ development,7.09E-05,4.31E-02,2.86,11186,89,748,17
gill,upregulated,GO:0051239,regulation of multicellular organismal process,1.04E-04,6.07E-02,1.27,11186,2219,748,189
gill,upregulated,GO:0006275,regulation of DNA replication,2.10E-04,1.18E-01,2.72,11186,88,748,16
gill,upregulated,GO:0045740,positive regulation of DNA replication,2.28E-04,1.24E-01,4.08,11186,33,748,9
gill,upregulated,GO:0007275,multicellular organism development,2.42E-04,1.26E-01,1.69,11186,426,748,48
gill,upregulated,GO:0010571,positive regulation of nuclear cell cycle DNA replication,2.67E-04,1.34E-01,9.97,11186,6,748,4
gill,upregulated,GO:0006189,'de novo' IMP biosynthetic process,2.67E-04,1.30E-01,9.97,11186,6,748,4
gill,upregulated,GO:0043062,extracellular structure organization,2.78E-04,1.31E-01,1.88,11186,271,748,34
gill,upregulated,GO:0044774,mitotic DNA integrity checkpoint,2.82E-04,1.29E-01,3.65,11186,41,748,10
gill,upregulated,GO:0010604,positive regulation of macromolecule metabolic process,2.83E-04,1.25E-01,1.25,11186,2328,748,194
gill,upregulated,GO:0040007,growth,2.90E-04,1.25E-01,1.91,11186,250,748,32
gill,upregulated,GO:0044773,mitotic DNA damage checkpoint,2.93E-04,1.22E-01,3.96,11186,34,748,9
gill,upregulated,GO:0060426,lung vasculature development,2.98E-04,1.21E-01,14.95,11186,3,748,3
gill,upregulated,GO:0031570,DNA integrity checkpoint,3.61E-04,1.42E-01,2.95,11186,66,748,13
gill,upregulated,GO:0030900,forebrain development,3.71E-04,1.43E-01,3.85,11186,35,748,9
gill,upregulated,GO:0030198,extracellular matrix organization,3.81E-04,1.43E-01,1.91,11186,243,748,31
gill,upregulated,GO:0001654,eye development,4.21E-04,1.54E-01,2.9,11186,67,748,13
gill,upregulated,GO:0051093,negative regulation of developmental process,4.27E-04,1.52E-01,1.49,11186,702,748,70
gill,upregulated,GO:0051960,regulation of nervous system development,4.31E-04,1.50E-01,1.48,11186,727,748,72
gill,upregulated,GO:0045595,regulation of cell differentiation,4.50E-04,1.53E-01,1.33,11186,1345,748,120
gill,upregulated,GO:0031099,regeneration,5.01E-04,1.66E-01,2.44,11186,104,748,17
gill,upregulated,GO:0048518,positive regulation of biological process,5.79E-04,1.88E-01,1.15,11186,4124,748,318
gill,upregulated,GO:0021861,forebrain radial glial cell differentiation,5.90E-04,1.87E-01,8.55,11186,7,748,4
gill,upregulated,GO:0007346,regulation of mitotic cell cycle,6.04E-04,1.88E-01,1.59,11186,479,748,51
gill,upregulated,GO:0042127,regulation of cell proliferation,6.08E-04,1.85E-01,1.37,11186,1080,748,99
gill,upregulated,GO:0060429,epithelium development,6.60E-04,1.97E-01,2.32,11186,116,748,18
gill,upregulated,GO:0090304,nucleic acid metabolic process,6.61E-04,1.93E-01,1.28,11186,1666,748,143
gill,upregulated,GO:0007389,pattern specification process,6.66E-04,1.91E-01,1.85,11186,251,748,31
gill,upregulated,GO:0006139,nucleobase-containing compound metabolic process,6.71E-04,1.88E-01,1.25,11186,2089,748,174
gill,upregulated,GO:0034641,cellular nitrogen compound metabolic process,6.73E-04,1.86E-01,1.22,11186,2463,748,201
gill,upregulated,GO:0030334,regulation of cell migration,7.16E-04,1.94E-01,1.51,11186,616,748,62
gill,upregulated,GO:0051173,positive regulation of nitrogen compound metabolic process,7.53E-04,2.00E-01,1.23,11186,2232,748,184
gill,upregulated,GO:0045665,negative regulation of neuron differentiation,7.69E-04,2.01E-01,2.02,11186,178,748,24
gill,upregulated,GO:0031103,axon regeneration,8.11E-04,2.08E-01,4.98,11186,18,748,6
gill,upregulated,GO:0001667,ameboidal-type cell migration,8.11E-04,2.04E-01,2.28,11186,118,748,18
