K	run	likelihood
k1	r1_admixture	-39713699.599214
k2	r1_admixture	-37625728.328384
k3	r1_admixture	-36164990.676675
k4	r1_admixture	-34766357.980803
k5	r1_admixture	-33816175.229771
k1	r10_admixture	-39713699.599214
k2	r10_admixture	-37629232.741981
k3	r10_admixture	-36154487.248742
k4	r10_admixture	-34868984.901466
k5	r10_admixture	-33836251.372837
k1	r2_admixture	-39713699.599215
k2	r2_admixture	-37625728.353270
k3	r2_admixture	-36143351.749895
k4	r2_admixture	-34920433.987317
k5	r2_admixture	-33803721.010205
k1	r3_admixture	-39713699.599214
k2	r3_admixture	-37629232.790714
k3	r3_admixture	-36196978.076281
k4	r3_admixture	-34908761.132886
k5	r3_admixture	-33768678.274356
k1	r4_admixture	-39713699.599214
k2	r4_admixture	-37629232.759757
k3	r4_admixture	-36133709.494657
k4	r4_admixture	-35228610.007660
k5	r4_admixture	-33891088.189212
k1	r5_admixture	-39713699.599214
k2	r5_admixture	-37629232.747575
k3	r5_admixture	-36537040.337224
k4	r5_admixture	-35312313.031322
k5	r5_admixture	-34051495.540478
k1	r6_admixture	-39713699.599214
k2	r6_admixture	-37626381.555578
k3	r6_admixture	-36427175.675659
k4	r6_admixture	-35103340.941439
k5	r6_admixture	-33827705.723995
k1	r7_admixture	-39713699.599214
k2	r7_admixture	-37625876.389764
k3	r7_admixture	-36203363.038843
k4	r7_admixture	-34856140.264030
k5	r7_admixture	-33744793.432580
k1	r8_admixture	-39713699.599214
k2	r8_admixture	-37626381.606143
k3	r8_admixture	-36135654.012550
k4	r8_admixture	-34871584.935905
k5	r8_admixture	-33670116.937657
k1	r9_admixture	-39713699.599214
k2	r9_admixture	-37625876.378117
k3	r9_admixture	-36122522.261793
k4	r9_admixture	-35029843.570665
k5	r9_admixture	-33795143.054301
