XmacGene,XmacGeneID,Evalue,HumanGene,SwissprotAnnotationID
gene0,GeneID:111609629,NA,NA,
gene10,GeneID:102223073,1.00E-40,sp|E7ERA6|RN223_HUMAN,E7ERA6
gene100,GeneID:102228670,1.00E-34,sp|A6NK02|TRI75_HUMAN,A6NK02
gene1000,GeneID:106700016,2.00E-08,sp|P27469|G0S2_HUMAN,P27469
gene10000,GeneID:102235049,0,sp|Q96RW7|HMCN1_HUMAN,Q96RW7
gene10001,GeneID:111609808,NA,NA,
gene10002,GeneID:102228457,6.00E-87,sp|O15511|ARPC5_HUMAN,O15511
gene10003,GeneID:102235312,0,sp|P47712|PA24A_HUMAN,P47712
gene10004,GeneID:102228898,0,sp|P35354|PGH2_HUMAN,P35354
gene10005,GeneID:102229161,2.00E-102,sp|P20941|PHOS_HUMAN,P20941
gene10006,GeneID:102229418,0,sp|P12270|TPR_HUMAN,P12270
gene10007,GeneID:102235570,2.00E-64,sp|Q92954|PRG4_HUMAN,Q92954
gene10008,GeneID:102235822,2.00E-134,tr|A0A0C3SFZ9|A0A0C3SFZ9_HUMAN,A0A0C3SFZ9
gene10009,GeneID:102229682,0,sp|P48378|RFX2_HUMAN,P48378
gene1001,GeneID:102226085,4.00E-136,sp|Q7Z7C8|TAF8_HUMAN,Q7Z7C8
gene10010,GeneID:102229939,0,sp|Q5FVE4|ACBG2_HUMAN,Q5FVE4
gene10011,GeneID:102236076,9.00E-172,sp|Q03111|ENL_HUMAN,Q03111
gene10012,GeneID:102236334,5.00E-98,sp|Q8TDN7|ACER1_HUMAN,Q8TDN7
gene10013,GeneID:102236585,0,sp|O00160|MYO1F_HUMAN,O00160
gene10014,GeneID:102230202,0,tr|A0A0A0MQW6|A0A0A0MQW6_HUMAN,A0A0A0MQW6
gene10015,GeneID:102236845,0,sp|P43403|ZAP70_HUMAN,P43403
gene10016,GeneID:102230466,8.00E-144,sp|Q96BX8|MOB3A_HUMAN,Q96BX8
gene10017,GeneID:102230914,0,sp|Q9HBH9|MKNK2_HUMAN,Q9HBH9
gene10018,GeneID:102237108,0,sp|Q8N1G1|REXO1_HUMAN,Q8N1G1
gene10019,GeneID:102237364,6.00E-36,sp|Q8NFW5|DMBX1_HUMAN,Q8NFW5
gene1002,GeneID:102231885,1.00E-35,sp|Q8TCI5|PIFO_HUMAN,Q8TCI5
gene10020,GeneID:102231174,0,sp|Q9Y6M4|KC1G3_HUMAN,Q9Y6M4
gene10021,GeneID:102237620,4.00E-75,sp|Q16625|OCLN_HUMAN,Q16625
gene10022,GeneID:102220258,4.00E-175,sp|P10588|NR2F6_HUMAN,P10588
gene10023,GeneID:102220524,6.00E-17,tr|G8JLM4|G8JLM4_HUMAN,G8JLM4
gene10024,GeneID:111609790,NA,NA,
gene10025,GeneID:102235137,9.00E-137,sp|Q9NWV8|BABA1_HUMAN,Q9NWV8
gene10026,GeneID:102220787,NA,NA,
gene10027,GeneID:102221041,5.00E-175,sp|Q969Y2|GTPB3_HUMAN,Q969Y2
gene10028,GeneID:102235398,0,sp|Q9HCE9|ANO8_HUMAN,Q9HCE9
gene10029,GeneID:102235648,4.00E-59,sp|Q9BW61|DDA1_HUMAN,Q9BW61
gene1003,GeneID:102231626,9.00E-105,sp|Q15904|VAS1_HUMAN,Q15904
gene10030,GeneID:102221306,0,sp|Q96I13|ABHD8_HUMAN,Q96I13
gene10031,GeneID:102221561,0,sp|P08575|PTPRC_HUMAN,P08575
gene10032,GeneID:111609728,NA,NA,
gene10033,GeneID:111609623,9.00E-11,sp|P08575|PTPRC_HUMAN,P08575
gene10034,GeneID:111609667,NA,NA,
gene10035,GeneID:111609793,9.00E-10,tr|E9PKH0|E9PKH0_HUMAN,E9PKH0
gene10036,GeneID:111609768,4.00E-09,tr|E9PKH0|E9PKH0_HUMAN,E9PKH0
gene10037,GeneID:102221821,0,sp|Q8TDX7|NEK7_HUMAN,Q8TDX7
gene10038,GeneID:102235898,3.00E-180,tr|H0YL54|H0YL54_HUMAN,H0YL54
gene10039,GeneID:102222090,3.00E-12,tr|H7C0U6|H7C0U6_HUMAN,H7C0U6
gene1004,GeneID:102225655,0,sp|P31150|GDIA_HUMAN,P31150
gene10040,GeneID:102222355,0,sp|Q6P3S1|DEN1B_HUMAN,Q6P3S1
gene10041,GeneID:102222606,0,sp|P82279|CRUM1_HUMAN,P82279
gene10042,GeneID:102222863,5.00E-38,sp|Q96GL9|F163A_HUMAN,Q96GL9
gene10043,GeneID:102223117,5.00E-91,sp|Q8NAT2|TDRD5_HUMAN,Q8NAT2
gene10044,GeneID:102217739,4.00E-45,sp|Q9NP85|PODO_HUMAN,Q9NP85
gene10045,GeneID:106700210,5.00E-79,tr|A6H900|A6H900_HUMAN,A6H900
gene10046,GeneID:102221697,0,sp|Q9Y3P9|RBGP1_HUMAN,Q9Y3P9
gene10047,GeneID:102223377,2.00E-180,sp|Q9Y2T5|GPR52_HUMAN,Q9Y2T5
gene10048,GeneID:102223633,2.00E-80,sp|Q53G44|IF44L_HUMAN,Q53G44
gene10049,GeneID:106699679,3.00E-68,sp|Q53G44|IF44L_HUMAN,Q53G44
gene1005,GeneID:102231364,0,sp|Q6UXX5|ITIH6_HUMAN,Q6UXX5
gene10050,GeneID:102223894,0,sp|Q9BQE3|TBA1C_HUMAN,Q9BQE3
gene10051,GeneID:102217235,0,sp|P68363|TBA1B_HUMAN,P68363
gene10052,GeneID:102224155,1.00E-101,tr|Q5W0W2|Q5W0W2_HUMAN,Q5W0W2
gene10053,GeneID:102236577,4.00E-171,sp|O00459|P85B_HUMAN,O00459
gene10054,GeneID:111609754,NA,NA,
gene10055,GeneID:102224410,9.00E-50,sp|P13284|GILT_HUMAN,P13284
gene10056,GeneID:102224661,0,tr|A0A1B0GW84|A0A1B0GW84_HUMAN,A0A1B0GW84
gene10057,GeneID:102236834,NA,NA,
gene10058,GeneID:102237001,1.00E-66,sp|Q567V2|M17L2_HUMAN,Q567V2
gene10059,GeneID:102237257,6.00E-156,sp|P20336|RAB3A_HUMAN,P20336
gene1006,GeneID:102225387,0,sp|P16118|F261_HUMAN,P16118
gene10060,GeneID:102237520,2.00E-94,sp|P17535|JUND_HUMAN,P17535
gene10061,GeneID:111609777,NA,NA,
gene10062,GeneID:102222501,1.00E-57,sp|Q9Y4Z0|LSM4_HUMAN,Q9Y4Z0
gene10063,GeneID:102237777,2.00E-111,sp|Q9NXJ5|PGPI_HUMAN,Q9NXJ5
gene10064,GeneID:102238036,0,sp|Q92900|RENT1_HUMAN,Q92900
gene10065,GeneID:102224927,0,sp|Q9Y6V7|DDX49_HUMAN,Q9Y6V7
gene10066,GeneID:102225185,2.00E-122,sp|Q9NSC5|HOME3_HUMAN,Q9NSC5
gene10067,GeneID:102224613,2.00E-90,sp|P62987|RL40_HUMAN,P62987
gene10068,GeneID:111609729,NA,NA,
gene10069,GeneID:102224879,3.00E-154,sp|Q8TBH0|ARRD2_HUMAN,Q8TBH0
gene10070,GeneID:102225574,5.00E-39,sp|Q53G44|IF44L_HUMAN,Q53G44
gene10071,GeneID:111609792,NA,NA,
gene10072,GeneID:106700148,0,sp|Q9BQE3|TBA1C_HUMAN,Q9BQE3
gene10073,GeneID:102225445,5.00E-70,sp|Q9BY76|ANGL4_HUMAN,Q9BY76
gene10074,GeneID:102216399,0,sp|Q86TI2|DPP9_HUMAN,Q86TI2
gene10075,GeneID:102216834,2.00E-158,tr|K7EK33|K7EK33_HUMAN,K7EK33
gene10076,GeneID:102217090,4.00E-124,sp|Q14353|GAMT_HUMAN,Q14353
gene10077,GeneID:102217343,5.00E-105,sp|O75251|NDUS7_HUMAN,O75251
gene10078,GeneID:106699681,3.00E-11,sp|Q9BSE2|TMM79_HUMAN,Q9BSE2
gene10079,GeneID:102217597,4.00E-64,sp|Q05D32|CTSL2_HUMAN,Q05D32
gene10080,GeneID:102225707,3.00E-151,sp|Q99856|ARI3A_HUMAN,Q99856
gene10081,GeneID:102217847,5.00E-158,sp|Q96K37|S35E1_HUMAN,Q96K37
gene10082,GeneID:102225971,2.00E-58,sp|O95402|MED26_HUMAN,O95402
gene10083,GeneID:102226232,1.00E-58,sp|Q96HA9|PX11C_HUMAN,Q96HA9
gene10084,GeneID:102226484,0,tr|A0A0G2JMD7|A0A0G2JMD7_HUMAN,A0A0G2JMD7
gene10085,GeneID:102226743,0,sp|O95477|ABCA1_HUMAN,O95477
gene10086,GeneID:111609663,NA,NA,
gene10087,GeneID:111609662,4.00E-16,sp|P05160|F13B_HUMAN,P05160
gene10088,GeneID:102218099,1.00E-75,sp|Q96D70|R3HD4_HUMAN,Q96D70
gene10089,GeneID:102218360,6.00E-75,sp|P08603|CFAH_HUMAN,P08603
gene1009,GeneID:102230315,1.00E-64,sp|P47900|P2RY1_HUMAN,P47900
gene10090,GeneID:106699680,NA,NA,
gene10091,GeneID:102218609,0,sp|O43825|B3GT2_HUMAN,O43825
gene10092,GeneID:102219046,7.00E-39,sp|Q9NS18|GLRX2_HUMAN,Q9NS18
gene10093,GeneID:102219308,0,sp|Q9Y5K5|UCHL5_HUMAN,Q9Y5K5
gene10094,GeneID:102219737,1.00E-52,sp|P41220|RGS2_HUMAN,P41220
gene10095,GeneID:102227003,2.00E-51,sp|Q08116|RGS1_HUMAN,Q08116
gene10096,GeneID:102219996,3.00E-27,sp|Q08116|RGS1_HUMAN,Q08116
gene10097,GeneID:111609809,NA,NA,
gene10098,GeneID:102227256,0,sp|Q76B58|BRNP3_HUMAN,Q76B58
gene10099,GeneID:111609705,6.00E-17,sp|Q96DM1|PGBD4_HUMAN,Q96DM1
gene101,GeneID:102233564,9.00E-27,sp|Q9BVG3|TRI62_HUMAN,Q9BVG3
gene1010,GeneID:102230051,8.00E-43,sp|P47900|P2RY1_HUMAN,P47900
gene10100,GeneID:111609706,NA,NA,
gene10101,GeneID:111609780,NA,NA,
gene10102,GeneID:102227515,0,sp|Q76B58|BRNP3_HUMAN,Q76B58
gene10103,GeneID:111609762,NA,NA,
gene10104,GeneID:111609761,6.00E-17,sp|Q96DM1|PGBD4_HUMAN,Q96DM1
gene10105,GeneID:111609810,NA,NA,
gene10106,GeneID:102222522,9.00E-74,sp|P57771|RGS8_HUMAN,P57771
gene10107,GeneID:102222777,8.00E-64,sp|O15539|RGS5_HUMAN,O15539
gene10108,GeneID:102223037,5.00E-80,sp|O15539|RGS5_HUMAN,O15539
gene10109,GeneID:102223466,1.00E-62,sp|P49798|RGS4_HUMAN,P49798
gene1011,GeneID:102229792,2.00E-58,sp|P47900|P2RY1_HUMAN,P47900
gene10110,GeneID:102229752,2.00E-42,sp|Q9UGM5|FETUB_HUMAN,Q9UGM5
gene10111,GeneID:102230015,3.00E-39,sp|Q9UGM5|FETUB_HUMAN,Q9UGM5
gene10112,GeneID:102230277,2.00E-154,sp|O75052|CAPON_HUMAN,O75052
gene10113,GeneID:102230543,9.00E-32,sp|A1L170|CA226_HUMAN,A1L170
gene10114,GeneID:102223717,1.00E-82,tr|E9PRY8|E9PRY8_HUMAN,E9PRY8
gene10115,GeneID:102223980,1.00E-104,sp|Q53H96|P5CR3_HUMAN,Q53H96
gene10116,GeneID:102230803,NA,NA,
gene10117,GeneID:102224235,5.00E-179,sp|Q13630|FCL_HUMAN,Q13630
gene10118,GeneID:102224485,3.00E-134,sp|P30740|ILEU_HUMAN,P30740
gene10119,GeneID:102231065,2.00E-159,sp|Q86YV6|MYLK4_HUMAN,Q86YV6
